Name of the city,|1993_Q1 num of people|,|1993_Q1 total price|,|1993_Q2 num of people|,|1993_Q2 total price|,|1993_Q3 num of people|,|1993_Q3 total price|,|1993_Q4 num of people|,|1993_Q4 total price|,|2015_Q1 num of people|,|2015_Q1 total price|,|2015_Q2 num of people|,|2015_Q2 total price|,|2015_Q3 num of people|,|2015_Q3 total price|,|2015_Q4 num of people|,|2015_Q4 total price|,
Seoul, South Korea: Kimpo International/Seoul Metropolitan Area,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Meadowbank Nunavut, Canada: Meadowbank,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Al Hoceima, Morocco: Cherif El Idrissi International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Akiachak, AK: Akiachak Airport,2.0,25.0,N/A,N/A,1.0,237.59,N/A,N/A,0,0,N/A,N/A,N/A,N/A,0,0,
Stockholm, Sweden: Bromma,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mokpo, South Korea: Mokpo Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Midlothian/Waxahachie, TX: Mid Way Regional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mount Vernon, OH: Knox County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Berlin, Germany: Schonefeld,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nome, AK: Nome Airport,375.0,40786.569999999985,419.0,50380.44999999999,563.0,82335.78000000001,394.0,44122.78999999999,702.0,104472.48,841.0,139017.0,1037.0,168194.21000000002,836.0,127953.35000000002,
South Naknek, AK: South Naknek 2,N/A,N/A,1.0,288.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Plymouth, MA: Plymouth Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tchibanga, Gabon: Tchibanga Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Twin Falls, ID: Joslin Field - Magic Valley Regional,608.0,115107.52999999998,597.0,115382.67000000004,698.0,120198.14,793.0,134540.15000000005,638.0,202832.27000000008,873.0,263710.87,987.0,291836.15,961.0,268157.54000000004,
Santa Fe, NM: Santa Fe Municipal,31.0,10867.549999999996,41.0,15018.220000000003,57.0,16447.229999999996,32.0,13241.509999999998,1047.0,272632.45999999996,2035.0,536549.9699999999,1849.0,520125.13999999996,1546.0,429233.8200000001,
Sendai, Japan: Sendai Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
St. Pierre, Saint Pierre and Miquelon: Saint Pierre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ilheus, Brazil: Bahia-Jorge Amado,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Konduz, Afghanistan: Kunduz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Big Creek, AK: Big Creek Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Murrieta/Temecula, CA: French Valley,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kumamoto, Japan: Kumamoto Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rehoboth, DE: Rehoboth Aircrafters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Truckee, CA: Truckee Tahoe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mackay, Australia: Mackay Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Picayune, MS: Picayune Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eagle, AK: Eagle Airport,1.0,245.01,1.0,245.01,2.0,450.5,2.0,788.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lynn Lake, Canada: Lynn Lake Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Garaina, Papua New Guinea: Garaina Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Laayoune, Morocco: Hassan I International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Austin, TX: Bergstrom AFB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bhamo, Burma: Banmaw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Duluth, MN: Sky Harbor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Reno, NV: Reno Stead,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Wipim, Papua New Guinea: Wipim Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sirnak, Turkey: Sirnak Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Trelew, Argentina: Almirante Zar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
China Lake, CA: China Lake Naws,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Indore, India: Indore Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Crossville, TN: Crossville Memorial-Whitson Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Red Oak, IA: Red Oak Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Noorvik, AK: Robert/Bob/Curtis Memorial,2.0,624.73,1.0,339.46,3.0,897.06,1.0,315.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sidney, NY: Sidney Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bartlesville, OK: Bartlesville Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Socorro, NM: Socorro Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mitchell, SD: Mitchell Municipal,8.0,1750.63,12.0,3096.3399999999997,9.0,1977.5299999999997,8.0,2268.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kalmar, Sweden: Kalmar Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Telaquana Lake, AK: Telaquana Lake Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kansas City, MO: Kansas City International,69480.0,5241650.110000001,86502.0,6054479.519999995,88513.0,5831777.790000006,87257.0,6038850.320000003,94289.0,12846660.590000002,117466.0,16111164.530000005,117953.0,15445932.68999999,116359.0,15120756.110000009,
Carmelita, Guatemala: Carmelita Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gagnoa, Cote d'Ivoire: Gagnoa Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Plymouth, IN: Plymouth Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Porto Velho, Brazil: Governador Jorge Teixeira de Oliveira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tartagal, Argentina: Tartagal Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Suceava, Romania: Stefan Cel Mare,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hawthorne, NV: Hawthorne Industrial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
St. Lucia, Saint Lucia: George F. Charles,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Camaguey, Cuba: Ignacio Agramonte International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Moss Town, The Bahamas: Exuma International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pauloff Harbor, AK: Pauloff Harbor Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
San Pedro, CA: Catalina Air-Sea Terminal Heliport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Farmington, MO: Farmington Regional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Danbury, CT: Danbury Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gardner, MA: Gardner Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Frankfurt, Germany: Frankfurt Main,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Merida, Mexico: Licenciado Manuel Crescencio Rejon International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Floro, Norway: Floro Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jasper, TN: Marion County Brown Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Avalon, CA: Catalina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Beihai, China: Beihai Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mwanza, Tanzania: Mwanza Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nowra, Australia: Nowra Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tulua, Colombia: Tulua Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Durban, South Africa: Louis Botha,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Puerto Escondido, Mexico: Puerto Escondido International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bucharest, Romania: Henri Coanda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pinedale, WY: Ralph Wenz Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kuparuk, AK: North Kuparuk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Can Tho, Vietnam: Can Tho International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rodman Bay, AK: Rodman Bay Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anapa, Russia: Anapa Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Edna Bay, AK: Edna Bay Airport,1.0,309.5,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
London, United Kingdom: London Luton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chita, Russia: Chita Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Niort, France: Niort Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Coban, Guatemala: Coban Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tuscaloosa, AL: Tuscaloosa Regional,216.0,33466.439999999995,264.0,44989.09,211.0,35929.200000000004,235.0,42760.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jeremie, Haiti: Jeremie Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Uribia, Colombia: Puerto Bolivar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Enid, OK: Enid Woodring Regional,10.0,2511.0899999999997,13.0,3951.4,16.0,3101.2699999999995,11.0,2731.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tambacounda, Senegal: Tambacounda Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Houston, TX: George Bush Intercontinental/Houston,78349.0,7227348.67,92505.0,8079505.569999998,89629.0,7904040.979999999,91092.0,8029762.889999997,151605.0,26823316.640000004,174393.0,30341358.44000001,175593.0,28597267.500000004,188102.0,28051471.47000001,
Marshfield, WI: Marshfield Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shimla, India: Shimla Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Vestmannaeyjar, Iceland: Vestmannaeyjar Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lake Hasselborg, AK: Lake Hasselborg Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Porto Nacional, Brazil: Porto Nacional Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Monte Alegre, Brazil: Monte Alegre Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Axum, Ethiopia: Axum Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tsushima, Japan: Tsushima Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lodz Lodzkie, Poland: Lodz Lublinek,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Karluk, AK: Karluk Airport,2.0,173.66,3.0,684.53,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lucenec, Slovakia: Lucenec Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chicoutimi, Canada: St Honore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nanaimo, Canada: Nanaimo Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pine Bluff, AR: Grider Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hakodate, Japan: Hakodate Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fitzroy Crossing, Australia: Fitzroy Crossing Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ukiah, CA: Ukiah Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Boscombe, United Kingdom: Boscombe Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cape Yakataga, AK: Yakataga,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Njombe, Tanzania: Njombe Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bismarck/Mandan, ND: Bismarck Municipal,2620.0,327905.34999999986,3075.0,415258.5700000003,3031.0,423568.9899999998,2810.0,359910.1499999999,5763.0,1281550.1099999999,5855.0,1346099.2599999998,6243.0,1376158.8200000003,6676.0,1309611.6300000001,
Leesburg, VA: Leesburg Executive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Boston, MA: Nashua Street Heliport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jamestown, NY: Chautauqua County/Jamestown,514.0,87550.83999999998,660.0,117413.53000000006,769.0,128496.13999999996,661.0,123612.28000000006,28.0,7087.259999999999,4.0,904.63,N/A,N/A,N/A,N/A,
Kimball, NE: Kimball Municipal/Robert E. Arraj Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alpine, TX: Alpine Casparis Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
California City, CA: California City Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Grafton, Australia: Grafton Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alexandria, LA: Alexandria International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2593.0,710487.4800000001,3275.0,904616.7699999999,3011.0,861037.3200000004,2726.0,793347.73,
McCook, NE: McCook Ben Nelson Regional,8.0,2020.98,13.0,3058.67,14.0,2518.9199999999996,21.0,6109.1,7.0,2692.14,7.0,2152.24,15.0,5904.13,3.0,766.0,
Multan, Pakistan: Multan International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Williston, FL: Williston Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Napuka Islnd, French Polynesia: Napuka,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Skukuza, South Africa: Skukuza Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Montreal, Canada: Montreal Metropolitan Area,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chania, Greece: Souda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Moa, Cuba: Orestes Acosta,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cunnamulla, Australia: Cunnamulla Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
East Hartford, CT: Rentschler Heliport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anderson, SC: Anderson Regional,24.0,5340.47,1.0,229.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dusseldorf, Germany: Monchengladbach,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Palestine, TX: Palestine Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Corvallis, OR: Corvallis Municipal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Qingdao, China: Liuting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Leconi, Gabon: Leconi Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bedford, PA: Bedford County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ashgabat, Turkmenistan: Ashgabat Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Castlegar/Nelson/Trail, Canada: Castlegar West Kootenay Regional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Whalers Cove Lodge, AK: Whalers Cove Lodge Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kulik Lake, AK: Kulik Lake Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Zweibrucken, Germany: Zweibrucken Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Panama City, FL: Tyndall AFB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Georgetown, SC: Georgetown County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gondar, Ethiopia: Gondar Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Zilina, Slovakia: Zilina International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kawau Island, New Zealand: Kawau Island Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
East Haddam, CT: Goodspeed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kelafo, Ethiopia: Kelafo Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sucre, Bolivia: Juana Azurduy de Padilla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tartu, Estonia: Tartu Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bagdad, AZ: Bagdad Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shoal Bay, Canada: Shoal Bay Water Aerodrome,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Constanta, Romania: Rum Kogalniceanu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cue, Australia: Cue Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Yacuiba, Bolivia: Yacuiba Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Harbor Springs, MI: Harbor Springs Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
